QFT-ICAM_totparticles_labels	QFT-ICAM_NAP_labels	filtration_volumn_in_liter	Event	Date	Time	Latitude	Longitude	Sample_ID	Depth_in_meter
sam_PS107_EG1_100m	BL_PS107_EG1_100m_bl	2.28	PS107_29-1	2017-08-05	22:08	78.9915	-5.4527	EG1	100
sam_PS107_EG1_10m	BL_PS107_EG1_10m_bl	2.28	PS107_29-1	2017-08-05	22:08	78.9915	-5.4527	EG1	10
sam_PS107_EG1_35m	BL_PS107_EG1_35m_bl	2.28	PS107_29-1	2017-08-05	22:08	78.9915	-5.4527	EG1	35
sam_PS107_EG1_40m	BL_PS107_EG1_40m_bl	2.28	PS107_29-1	2017-08-05	22:08	78.9915	-5.4527	EG1	40
sam_PS107_EG1_50m	BL_PS107_EG1_50m_bl	2.28	PS107_29-1	2017-08-05	22:08	78.9915	-5.4527	EG1	50
sam_PS107_EG2_100m	BL_PS107_EG2_100m_bl	2.28	PS107_28-1	2017-08-05	3:40	78.9335	-4.6393	EG2	100
sam_PS107_EG2_10m	BL_PS107_EG2_10m_bl	2.28	PS107_28-1	2017-08-05	3:40	78.9335	-4.6393	EG2	10
sam_PS107_EG2_35m	BL_PS107_EG2_35m_bl	2.28	PS107_28-1	2017-08-05	3:40	78.9335	-4.6393	EG2	35
sam_PS107_EG2_45m	BL_PS107_EG2_45m_bl	2.28	PS107_28-1	2017-08-05	3:40	78.9335	-4.6393	EG2	45
sam_PS107_EG2_50m	BL_PS107_EG2_50m_bl	2.28	PS107_28-1	2017-08-05	3:40	78.9335	-4.6393	EG2	50
sam_PS107_EG3_100m	BL_PS107_EG3_100m_bl	3.42	PS107_24-1	2017-08-03	21:43	78.8568	-3.9523	EG3	100
sam_PS107_EG3_10m	BL_PS107_EG3_10m_bl	2.28	PS107_24-1	2017-08-03	21:43	78.8568	-3.9523	EG3	10
sam_PS107_EG3_20m	BL_PS107_EG3_20m_bl	2.28	PS107_24-1	2017-08-03	21:43	78.8568	-3.9523	EG3	20
sam_PS107_EG3_40m	BL_PS107_EG3_40m_bl	2.28	PS107_24-1	2017-08-03	21:43	78.8568	-3.9523	EG3	40
sam_PS107_EG3_50m	BL_PS107_EG3_50m_bl	2.28	PS107_24-1	2017-08-03	21:43	78.8568	-3.9523	EG3	50
