QFT-ICAM_totparticles_labels	QFT-ICAM_NAP_labels	filtration_volumn_in_liter
sam_PS107_EG1_100m	BL_PS107_EG1_100m_bl	2.28
sam_PS107_EG1_10m	BL_PS107_EG1_10m_bl	2.28
sam_PS107_EG1_35m	BL_PS107_EG1_35m_bl	2.28
sam_PS107_EG1_40m	BL_PS107_EG1_40m_bl	2.28
sam_PS107_EG1_50m	BL_PS107_EG1_50m_bl	2.28
sam_PS107_EG2_100m	BL_PS107_EG2_100m_bl	2.28
sam_PS107_EG2_10m	BL_PS107_EG2_10m_bl	2.28
sam_PS107_EG2_35m	BL_PS107_EG2_35m_bl	2.28
sam_PS107_EG2_45m	BL_PS107_EG2_45m_bl	2.28
sam_PS107_EG2_50m	BL_PS107_EG2_50m_bl	2.28
sam_PS107_EG3_100m	BL_PS107_EG3_100m_bl	3.42
sam_PS107_EG3_10m	BL_PS107_EG3_10m_bl	2.28
sam_PS107_EG3_20m	BL_PS107_EG3_20m_bl	2.28
sam_PS107_EG3_40m	BL_PS107_EG3_40m_bl	2.28
sam_PS107_EG3_50m	BL_PS107_EG3_50m_bl	2.28
sam_PS107_EG4_100m	BL_PS107_EG4_100m_bl	2.28
sam_PS107_EG4_10m	BL_PS107_EG4_10m_bl	2.28
sam_PS107_EG4_22m	BL_PS107_EG4_22m_bl	2.28
sam_PS107_EG4_40m	BL_PS107_EG4_40m_bl	2.28
sam_PS107_EG4_50m	BL_PS107_EG4_50m_bl	2.28
sam_PS107_Front1_100m	BL_PS107_Front1_100m_bl	2.28
sam_PS107_Front1_200m	BL_PS107_Front1_200m_bl	2.28
sam_PS107_Front1_20m	BL_PS107_Front1_20m_bl	0.8
sam_PS107_Front1_400m	BL_PS107_Front1_400m_bl	2.28
sam_PS107_Front1_50m	BL_PS107_Front1_50m_bl	1.64
sam_PS107_Front1_SF	BL_PS107_Front1_SF_bl	1.14
sam_PS107_Front2_100m	BL_PS107_Front2_100m_bl	2.28
sam_PS107_Front2_10m	BL_PS107_Front2_10m_bl	1.14
sam_PS107_Front2_200m	BL_PS107_Front2_200m_bl	2.28
sam_PS107_Front2_30m	BL_PS107_Front2_30m_bl	1.14
sam_PS107_Front2_400m	BL_PS107_Front2_400m_bl	2.28
sam_PS107_Front2_50m	BL_PS107_Front2_50m_bl	2.14
sam_PS107_Front3_100m	BL_PS107_Front3_100m_bl	2.28
sam_PS107_Front3_10m	BL_PS107_Front3_SF_bl	1.14
sam_PS107_Front3_200m	BL_PS107_Front3_200m_bl	2.28
sam_PS107_Front3_30m	BL_PS107_Front3_30m_bl	1.64
sam_PS107_Front3_400m	BL_PS107_Front3_400m_bl	2.28
sam_PS107_Front3_50m	BL_PS107_Front3_50m_bl	2.28
sam_PS107_Front4_100m	BL_PS107_Front4_100m_bl	2.28
sam_PS107_Front4_200m	BL_PS107_Front4_200m_bl	2.28
sam_PS107_Front4_30m	BL_PS107_Front4_30m_bl	1
sam_PS107_Front4_400m	BL_PS107_Front4_400m_bl	2.28
sam_PS107_Front4_50m	BL_PS107_Front4_50m_bl	2.28
sam_PS107_Front4_SF	BL_PS107_Front4_SF_bl	1
sam_PS107_Front5_100m	BL_PS107_Front5_100m_bl	2.28
sam_PS107_Front5_200m	BL_PS107_Front5_200m_bl	2.28
sam_PS107_Front5_25m	BL_PS107_Front5_25m_bl	1.14
sam_PS107_Front5_400m	BL_PS107_Front5_400m_bl	2.28
sam_PS107_Front5_50m	BL_PS107_Front5_50m_bl	2.28
sam_PS107_Front5_SF	BL_PS107_Front5_SF_bl	1.14
sam_PS107_HG1_100m	BL_PS107_HG1_100m_bl	2.28
sam_PS107_HG1_10m	BL_PS107_HG1_10m_bl	1.64
sam_PS107_HG1_20m	BL_PS107_HG1_20m_bl	1.14
sam_PS107_HG1_35m	BL_PS107_HG1_35m_bl	2.28
